STUDENT_NUM,ESTABLISHMENT_LOCATION,PRIOR_EDU_STATUS,UPPER_YEAR_STUDENT_REQUEST,FINANCING,STUDY_CHECK_PARTICIPATION,FLEXIBLE_STUDY_PARTICIPATION,EXAM_FINAL_RESULT,FROZEN_STUDENT_STATUS,PRIOR_DIMPLOMA_OBTAINTION,PRIOR_EDUCATION_DESCRIPTION,GENDER,PREFERRED_EDUCATION,STUDENT_AGE,ENROLLMENT_WINDOW,EXAM_BEFORE_ENROLLMENT_STATUS,STUDY_PROGRAM_BACTMU,STUDY_PROGRAM_BAIV,STUDY_PROGRAM_BAPA,STUDY_PROGRAM_BAPE,STUDY_PROGRAM_BARE,STUDY_PROGRAM_BASJ,STUDY_PROGRAM_BASW,STUDY_PROGRAM_BGHBCE,STUDY_PROGRAM_BGHBFA,STUDY_PROGRAM_BGHBFY,STUDY_PROGRAM_BGHBHB,STUDY_PROGRAM_BGHBLO,STUDY_PROGRAM_BGHBMH,STUDY_PROGRAM_BGHBMO,STUDY_PROGRAM_BGHBZO,STUDY_PROGRAM_BJCB,STUDY_PROGRAM_BJCM,STUDY_PROGRAM_BJDE,STUDY_PROGRAM_BJJO,STUDY_PROGRAM_BMBDK,STUDY_PROGRAM_BMCE,STUDY_PROGRAM_BMFC,STUDY_PROGRAM_BMFTA,STUDY_PROGRAM_BMIBU,STUDY_PROGRAM_BMORM,STUDY_PROGRAM_BOEVBIO2,STUDY_PROGRAM_BOEVSCH2,STUDY_PROGRAM_BOEVWIS2,STUDY_PROGRAM_BOGTNGTTOL,STUDY_PROGRAM_BOTAENG2,STUDY_PROGRAM_BOTAENG2EN,STUDY_PROGRAM_BOTANED2,STUDY_PROGRAM_BTBE,STUDY_PROGRAM_BTETET,STUDY_PROGRAM_BTIBTB,STUDY_PROGRAM_BTICIC,STUDY_PROGRAM_BTLCCE,STUDY_PROGRAM_BTLCCY,STUDY_PROGRAM_BTLCLS,STUDY_PROGRAM_MOEVBIO,EXAM_TYPE_B,EXAM_TYPE_D,EXAM_TYPE_M,FULL_TIME_PART_D,FULL_TIME_PART_L,FULL_TIME_PART_V,REGISTRATION_STATUS_G,REGISTRATION_STATUS_I,REGISTRATION_STATUS_U,EXAM_ADMINISTERED_B,EXAM_ADMINISTERED_D,EXAM_ADMINISTERED_HN,EXAM_ADMINISTERED_M,PRIOR_VERIFICATION_STATUS_DD,PRIOR_VERIFICATION_STATUS_GD,PRIOR_VERIFICATION_STATUS_GV,PRIOR_VERIFICATION_STATUS_N,NATIONALITY_CHI,NATIONALITY_DUI,NATIONALITY_NIG,NATIONALITY_NL,NATIONALITY_SPA,NATIONALITY_TUR,PRIOR_QUALIFICATION_TYPE_HAVO,PRIOR_QUALIFICATION_TYPE_HBO,PRIOR_QUALIFICATION_TYPE_MBO,PRIOR_QUALIFICATION_TYPE_VWO,PRIOR_EDUCATION_IBG_10040,PRIOR_EDUCATION_IBG_171,PRIOR_EDUCATION_IBG_172,PRIOR_EDUCATION_IBG_173,PRIOR_EDUCATION_IBG_179,PRIOR_EDUCATION_IBG_2,PRIOR_EDUCATION_IBG_25132,PRIOR_EDUCATION_IBG_25297,PRIOR_EDUCATION_IBG_25412,PRIOR_EDUCATION_IBG_25779,PRIOR_EDUCATION_IBG_370,PRIOR_EDUCATION_IBG_371,PRIOR_EDUCATION_IBG_372,PRIOR_EDUCATION_IBG_373,PRIOR_EDUCATION_IBG_374,PRIOR_EDUCATION_IBG_591,PRIOR_EDUCATION_IBG_601,PRIOR_EDUCATION_IBG_611,PRIOR_EDUCATION_IBG_741,PRIOR_EDUCATION_IBG_801,PRIOR_EDUCATION_IBG_90411,PRIOR_EDUCATION_IBG_94130,PRIOR_EDUCATION_IBG_95321,PRIOR_EDUCATION_IBG_Others,PRIOR_EXAM_YEAR_1999,PRIOR_EXAM_YEAR_2001,PRIOR_EXAM_YEAR_2007,PRIOR_EXAM_YEAR_2009,PRIOR_EXAM_YEAR_2012,PRIOR_EXAM_YEAR_2014,PRIOR_EXAM_YEAR_2015,PRIOR_EXAM_YEAR_2016,PRIOR_EXAM_YEAR_2017,PRIOR_EXAM_YEAR_2018,PRIOR_EXAM_YEAR_2019,PRIOR_EXAM_YEAR_2020,PRIOR_EXAM_YEAR_2022,DROPOUT_RISK
300463,1,1,0,1,0,1,1,0,0,0,1,1,27.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
301838,1,1,0,1,0,0,1,1,0,0,1,0,25.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
303631,1,1,0,1,0,0,1,0,0,0,0,0,30.0,8.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
310198,1,1,0,1,0,0,0,1,1,0,1,1,22.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
315813,1,1,0,1,0,0,1,1,0,0,1,0,24.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
315986,1,1,0,1,0,0,1,0,1,0,1,1,33.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
319188,1,1,0,1,0,0,1,1,1,0,0,0,30.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
320234,1,1,0,1,0,0,1,0,0,0,1,0,25.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
326948,1,1,0,1,0,0,1,1,0,0,1,0,22.0,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
328131,1,1,0,1,0,0,1,1,1,0,0,1,23.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
329041,0,1,0,1,0,0,1,0,1,0,0,1,21.0,9.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
336634,1,1,0,1,0,0,1,1,0,0,1,0,23.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
338658,1,1,0,1,0,0,0,1,1,0,0,1,22.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
339184,0,1,0,1,0,0,1,0,1,0,0,1,23.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
344627,0,1,0,1,0,0,1,0,0,0,0,1,26.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
355411,1,1,1,1,1,0,1,0,1,0,0,1,26.0,12.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
358305,1,1,0,1,0,0,0,1,1,0,0,0,22.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
376324,1,1,0,1,0,0,1,0,0,0,1,1,23.0,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
378075,1,1,0,1,0,0,1,1,1,0,0,1,23.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
378280,1,1,0,1,0,0,1,0,1,0,0,1,22.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
380547,1,1,0,1,0,0,1,0,1,1,0,1,22.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
382486,1,1,0,1,0,0,1,0,1,0,1,1,22.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
384156,1,1,0,1,0,0,1,0,1,0,1,1,21.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
386351,1,1,0,1,0,0,1,0,1,0,0,1,21.0,12.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
388100,1,1,0,1,0,0,1,0,1,1,1,1,21.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
390285,1,1,0,1,0,0,1,0,1,1,1,1,27.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
390515,1,1,0,1,0,0,1,0,1,0,1,1,26.0,8.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
391278,1,1,0,1,0,0,0,1,1,0,0,1,20.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
392547,1,1,0,1,0,0,1,0,1,0,1,1,23.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
